type,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,authors
토속생활형,0.29049931488222924,0.25306448621072297,-0.12775478822490657,0.10890070378052652,-0.058323833273725804,0.07725689885108138,0.029815366184716117,0.14118717174635087,0.06508999882594822,-0.08008547898294338,0.0035430536043889044,0.12809077778941305,0.04462838408637096,-0.031365786932511464,-0.007744246633945833,-0.049833332152855854,-0.010552726863498788,0.021917914552253434,0.039991353947466425,0.0019236678037665086,-0.031422381625090194,-0.06637781545753996,0.006709281399723946,-0.028562717525850614,0.020780492418225747,0.06703910151887729,-0.04632303440748545,-0.01055678471291547,-0.014065548098409205,-0.026062720048193246,0.022598828036600085,-0.0649647179557718,0.01571605251286759,-0.04226777054859463,0.012367873962602177,-0.038811950422387366,0.03305218311692985,-0.0009187093583391537,-0.06935235264727366,-0.07586910016405372,-0.04003411698683555,-0.08267452377548977,0.008496468701764265,0.060188171110590716,"김유정, 이무영"
현실묘사형,0.30463191995228484,-0.08715765950488352,0.13956598210710922,0.10406186455480988,-0.03308857508997409,0.06806088474670437,-0.07313434194483234,-0.07500884134440211,0.11223735764840508,-0.02329984985565771,-0.020460378072135497,-0.020475921962817594,0.01231402495761696,-0.034983017338965396,0.01042608834730993,-0.019127992190375077,0.05223232795313954,0.014090427437444241,0.032328243961866295,0.009786338979580719,-0.013855863024706948,0.013265301638384694,-0.03136487924155367,0.026938458630138967,0.023213749902764844,-0.06394273048212336,0.007728387046845951,0.027648673225434572,0.02404110161734853,0.026071857625810515,-0.002298225168276276,-0.03518681129294144,0.009663699192227673,-0.011415357027421353,-0.01907708234569191,-0.015489933848849656,-0.025773047262641024,-0.07915728498792755,0.0136385928994975,0.0650498101634719,-0.03151475637685958,0.028069851113669983,-0.012435488972620147,-0.057582127818536256,"현진건, 김동인, 나도향"
실험내면형,0.3108662600056307,-0.03558959802036926,0.0749344535304694,0.25589680564272904,0.10983070137410396,-0.1797339117389803,0.2820101872480583,-0.12408213939391088,-0.041748515124429404,-0.013329153778171815,-0.016052883025173572,-0.02389115729603236,-0.03211981618934621,0.12056953855205935,-0.021768668972070877,-0.006519006183838933,0.04380839358760128,-0.003395124256394308,0.00875543793363041,0.0030171540082427504,-0.01409428252481856,0.02305018106350435,-0.014635752579592817,0.038862412915447744,-0.007773371699641601,-0.010477717054877591,-0.01628679679885359,-0.10477150864271453,-0.06641006285456305,-0.034509040119843265,-0.016163514277294976,-0.06443074388697412,-0.04179977104707333,0.12426185970850087,0.09219388864923984,0.0724929419176344,0.055611338631014216,-0.04801006353734047,-0.03684196618050134,-0.037756971607838086,0.046758606146785474,-0.06456295578565491,-0.01315533050070368,-0.03770064165546931,이상
서정감각형,0.3084111684067499,-0.02588006628231983,0.03959352808729087,-0.004947564172009404,0.19100171561460236,0.07866334676168933,-0.10796283799729985,0.041673102970000236,-0.08845935372526341,0.0546597028762344,-0.04324029042913028,0.0009236759719957743,-0.025015983155131708,-0.07449691778214701,0.022581914033623484,0.012853049623110036,0.012857622517812832,-0.007058611799305448,0.018550920537860463,-0.0007401658030667225,0.033328847106450836,0.03476449908841168,0.016968540966431137,0.007968523086016843,-0.03014013744412382,-0.023420690691808105,0.03729502494404021,0.011230474432856413,-0.05633503168226462,-0.0528097829078544,-0.01130462657451646,0.01933413290665807,0.024296989362987086,-0.006157249230568679,0.031645062967888986,-0.0029678433029716785,0.02989643948003484,0.041197436602210646,-0.0038211431926034995,0.03597561715697591,-0.0207435355274322,0.009666853213562532,-0.03095237459374854,-0.023523604252809128,"이효석, 계용묵, 백신애"
계몽논설형,0.34474154202471596,0.1349860416830544,0.015601193160415763,-0.19672732864428366,0.027984865419317273,0.022299258529171216,0.05837768865733377,-0.17066676647513362,-0.039507400246435155,0.01577526962056681,0.03430549785688455,0.07949389360999881,-0.02401320846792318,0.04589574384058945,-0.045885458251469065,-0.008753262314226863,-0.05016906999032637,-0.004670258188151422,0.016611726408019382,-0.02369760338790245,0.05708385595736924,0.005191487433098824,0.08081183189108455,-0.10689655894163415,-0.032621465628884246,0.07971578423984041,0.05187226833472404,0.059313272751402774,0.03403387650561557,0.021919631814082317,-0.06392837666352502,-0.06691581218382206,-0.03752697225756424,-0.03163272081754939,-0.039758801894268565,0.01512491124381382,-0.015777900657196475,0.02821059322334763,-0.01138449676184215,0.004252343525071046,0.039197995874394154,0.02492489893684406,-0.0650520772457854,0.008240599364443898,"이광수, 심훈"
사회비판형,0.3260640876666288,-0.06939013108557925,-0.07978535767559039,-0.07786804958491393,-0.10401943463678259,-0.09193856399953772,0.012725502223046851,0.055872266790329944,-0.008864360873340109,0.04208794967402393,0.04800340806257162,-0.061622014707863014,0.03760635576198399,0.02784398681443863,0.01398327744067771,0.05279911289306362,-0.02463420562643065,-0.03309470785010038,-0.06705434511879058,-0.002391870168238776,-0.03489513291069113,-0.020746949710073917,-0.039210736299655186,0.023321340451682427,0.025766557751996693,-0.0017223774625291155,-0.039220640327798234,-0.010573674738985801,0.033537045156034784,0.01844728410171307,0.014209429540067053,0.09396664565623684,-0.020873526421892767,0.011129190026465166,-0.031634230060985334,-0.000277542640618602,-0.021452498155199513,0.017421920305223295,0.044300410547550136,-0.03801966970046596,0.0015405921566247639,0.013165720648991843,0.05962576249996075,0.016508268228065084,"채만식, 최서해, 강경애, 조명희"
