,토속생활형,현실묘사형,실험내면형,서정감각형,계몽논설형,사회비판형
토속생활형,1.0,0.03958323160253023,0.16304176855342242,0.11282509561827883,0.23583188219678153,0.16684305306752747
현실묘사형,0.03958323160253023,0.9999999999999997,0.20106015374185573,0.36774081145078436,0.14012175797075102,0.2260946930042399
실험내면형,0.16304176855342242,0.20106015374185573,1.0000000000000004,0.20038170677287648,0.06871369290072347,0.1084341450085134
서정감각형,0.11282509561827883,0.36774081145078436,0.20038170677287648,0.9999999999999993,0.3111276287987184,0.13225645007008394
계몽논설형,0.23583188219678153,0.14012175797075102,0.06871369290072347,0.3111276287987184,1.0000000000000004,0.1114870653441269
사회비판형,0.16684305306752747,0.2260946930042399,0.1084341450085134,0.13225645007008394,0.1114870653441269,1.0
