author,author_type,title,filename,relative_path,encoding_used,char_count,char_no_space_count,word_count,sentence_count,avg_sentence_length_words,sentence_length_std,sentence_length_median,short_sentence_ratio_1_3,sentence_ratio_4_7,sentence_ratio_8_15,long_sentence_ratio_16_plus,hangul_ratio,hanja_count,hanja_ratio,circle_count,circle_ratio,broken_char_ratio,quote_count,comma_count,question_count,exclamation_count,ellipsis_count,dialogue_sentence_ratio,comma_per_sentence,question_per_sentence,exclamation_per_sentence,ellipsis_per_sentence,lexical_diversity,first_person_expr_ratio,negation_expr_ratio,conceptual_expr_ratio,experimental_expr_ratio,nature_word_ratio,sensory_word_ratio,emotion_word_ratio,color_word_ratio,body_word_ratio,social_reality_word_ratio,rural_life_word_ratio,quality_flags
김유정,토속생활형,금_따는_콩밭,금_따는_콩밭.txt,final_corpus/김유정/금_따는_콩밭.txt,utf-8,10501,7752,2730,363,7.520661157024794,3.8140652560945285,7.0,0.12672176308539945,0.4325068870523416,0.4132231404958678,0.027548209366391185,0.9357585139318886,0,0.0,0,0.0,0.0,109,4,0,0,1,0.1928374655647383,0.011019283746556474,0.0,0.0,0.0027548209366391185,0.7326007326007326,0.04908424908424908,0.01904761904761905,0.00695970695970696,0.0018315018315018315,0.05531135531135531,0.00402930402930403,0.0014652014652014652,0.001098901098901099,0.030036630036630037,0.002564102564102564,0.03553113553113553,ok
김유정,토속생활형,동백꽃,동백꽃.txt,final_corpus/김유정/동백꽃.txt,utf-8,6919,5104,1821,169,10.775147928994082,5.7930051788157115,11.0,0.10650887573964497,0.22485207100591717,0.46153846153846156,0.20710059171597633,0.9459247648902821,0,0.0,0,0.0,0.0,62,32,19,19,0,0.27218934911242604,0.1893491124260355,0.11242603550295859,0.11242603550295859,0.0,0.6825919824272377,0.08072487644151564,0.026908292147171883,0.006589785831960461,0.0016474464579901153,0.05271828665568369,0.008237232289950576,0.003844041735310269,0.003844041735310269,0.029654036243822075,0.0,0.018671059857221308,short_text
김유정,토속생활형,땡볕,땡볕.txt,final_corpus/김유정/땡볕.txt,utf-8,6253,4608,1647,125,13.176,8.284987869635055,13.0,0.12,0.176,0.376,0.328,0.9377170138888888,0,0.0,0,0.0,0.0,84,56,15,13,12,0.384,0.448,0.12,0.104,0.096,0.726775956284153,0.058287795992714025,0.02185792349726776,0.025500910746812388,0.004857316332726169,0.03946569520340012,0.00546448087431694,0.004250151791135397,0.0024286581663630845,0.03946569520340012,0.0018214936247723133,0.014571948998178506,short_text
김유정,토속생활형,만무방,만무방.txt,final_corpus/김유정/만무방.txt,utf-8,22840,16903,5956,699,8.52074391988555,5.095433902709723,7.0,0.0715307582260372,0.44206008583690987,0.4177396280400572,0.06866952789699571,0.9258711471336449,0,0.0,0,0.0,0.0,224,239,33,28,28,0.17024320457796852,0.3419170243204578,0.04721030042918455,0.04005722460658083,0.04005722460658083,0.6433848220282069,0.05288784419073204,0.02048354600402955,0.007387508394895903,0.0023505708529214238,0.060946944257891204,0.005708529214237743,0.0031900604432505038,0.0015110812625923438,0.03760913364674278,0.00755540631296172,0.020651443922095367,ok
김유정,토속생활형,봄봄,봄봄.txt,final_corpus/김유정/봄봄.txt,utf-8,11424,8394,3052,286,10.671328671328672,6.1652945003941655,11.0,0.13286713286713286,0.17132867132867133,0.5314685314685315,0.16433566433566432,0.9291160352632833,0,0.0,0,0.0,0.0,116,108,18,47,30,0.2972027972027972,0.3776223776223776,0.06293706293706294,0.16433566433566432,0.1048951048951049,0.6408912188728703,0.06520314547837483,0.025884665792922673,0.006880733944954129,0.001965923984272608,0.051769331585845346,0.00655307994757536,0.000655307994757536,0.000655307994757536,0.025557011795543906,0.001310615989515072,0.019331585845347315,ok
이상,실험내면형,12월_12일,12월_12일.txt,final_corpus/이상/12월_12일.txt,utf-8,106294,78961,26980,2164,12.467652495378928,10.61153976526388,10.0,0.1478743068391867,0.2231977818853974,0.3539741219963031,0.27495378927911274,0.9308519395651017,0,0.0,0,0.0,0.0,1518,130,160,271,81,0.3539741219963031,0.06007393715341959,0.07393715341959335,0.12523105360443623,0.03743068391866913,0.3848035581912528,0.06590066716085989,0.03005930318754633,0.024833209785025945,0.005596738324684952,0.043550778354336545,0.007635285396590067,0.008117123795404003,0.002742772424017791,0.02876204595997035,0.0037805782060785767,0.016382505559673834,long_text
이상,실험내면형,권태,권태.txt,final_corpus/이상/권태.txt,utf-8,10278,7593,2679,343,7.810495626822157,4.7049016731865985,7.0,0.14868804664723032,0.44314868804664725,0.33819241982507287,0.06997084548104957,0.9413933886474384,0,0.0,0,0.0,0.0,6,50,22,6,12,0.011661807580174927,0.1457725947521866,0.0641399416909621,0.01749271137026239,0.03498542274052478,0.64501679731243,0.0843598357596118,0.043673012318029114,0.02724897349757372,0.001866368047779022,0.07801418439716312,0.006718924972004479,0.0026129152668906306,0.008585293019783502,0.01791713325867861,0.001866368047779022,0.019036954087346025,ok
이상,실험내면형,날개,날개.txt,final_corpus/이상/날개.txt,utf-8,22634,16568,5929,641,9.249609984399376,6.975113148618548,8.0,0.1419656786271451,0.34321372854914195,0.3868954758190328,0.12792511700468018,0.9499637856108161,0,0.0,0,0.0,0.0,4,60,33,8,24,0.0046801872074883,0.093603744149766,0.0514820592823713,0.0124804992199688,0.0374414976599064,0.5245403946702648,0.15213358070500926,0.03339517625231911,0.02040816326530612,0.0033732501264968798,0.045876201720357564,0.0074211502782931356,0.0025299375948726597,0.0008433125316242199,0.03052791364479676,0.0069151627593186035,0.010625737898465172,ok
이상,실험내면형,실화,실화.txt,final_corpus/이상/실화.txt,utf-8,9305,7037,2267,308,7.3603896103896105,6.24213706777407,6.0,0.33766233766233766,0.2532467532467532,0.3246753246753247,0.08441558441558442,0.8431149637629671,0,0.0,0,0.0,0.0,121,21,23,25,12,0.237012987012987,0.06818181818181818,0.07467532467532467,0.08116883116883117,0.03896103896103896,0.6837229819144244,0.08028231142479048,0.026025584472871635,0.022055580061755623,0.0035288928098809,0.04146449051610057,0.0061755624172915745,0.00529333921482135,0.0022055580061755625,0.029113365681517425,0.0035288928098809,0.011027790030877812,ok
이상,실험내면형,종생기,종생기.txt,final_corpus/이상/종생기.txt,utf-8,17418,12955,4394,386,11.38341968911917,12.473936961987304,8.0,0.22538860103626943,0.2538860103626943,0.266839378238342,0.2538860103626943,0.9516016981860286,0,0.0,0,0.0,0.0,104,87,26,25,0,0.09067357512953368,0.22538860103626943,0.06735751295336788,0.06476683937823834,0.0,0.6845698680018206,0.09080564406008193,0.026854802002730997,0.00978607191624943,0.0038689121529358215,0.05211652253072371,0.0061447428311333634,0.0025034137460172965,0.015020482476103778,0.02913063268092854,0.001137915339098771,0.01297223486572599,ok
