,김유정,이상,이효석,현진건,채만식,이광수,김동인,나도향,심훈,최서해,강경애,계용묵,백신애,조명희,이무영
김유정,0.9999999999999993,0.0697032982262111,0.258676984703084,0.16038714893164685,0.029339552432026735,0.23100960394278336,-0.15027812204362845,-0.07482307500707033,0.29571649067593664,-0.06461051559924241,0.07360354934395576,-0.15071307608708243,0.007268858143445896,0.12699823636809374,0.1907888568709433
이상,0.0697032982262111,1.0000000000000004,0.10426441888181195,-0.09820411547780886,-0.03838417504707869,0.08495680883948435,0.14387063545717105,0.3991989118780714,0.02170677123650637,0.10580477824787161,0.15287980897523076,0.1475239630281696,0.1356982288282476,0.05395202326154811,0.17859611324790436
이효석,0.258676984703084,0.10426441888181195,1.0,0.12519091630894508,-0.2239624157130414,0.22468857427601807,-0.013399172763411545,-0.010128721039820356,0.4076559187642411,0.05844764284848412,0.21853915706403668,0.1140152745230851,0.20311255402809028,0.027444232529904113,0.0511577616532172
현진건,0.16038714893164685,-0.09820411547780886,0.12519091630894508,1.0,0.06241696280583692,0.126308641107148,0.246021769917022,0.44231656716854295,0.13729516486159307,0.1782271355465465,-0.037997461462084124,0.14264458303083993,0.2914943576392982,0.0543725678225271,-0.052558951402348265
채만식,0.029339552432026735,-0.03838417504707869,-0.2239624157130414,0.06241696280583692,0.9999999999999999,0.23402475263607164,0.20207811705953097,0.0031373564865134354,0.12132144803378846,-0.11959213916669686,0.06391174368446713,0.23848780703492953,0.05084132785989331,0.3925935127455028,0.21208501683288453
이광수,0.23100960394278336,0.08495680883948435,0.22468857427601807,0.126308641107148,0.23402475263607164,1.0,0.353237030521247,0.18462867209787096,0.17753184863441435,-0.22316296275123498,0.06563849718220262,0.057451094993833024,-0.004598920217915584,0.16351850175115476,0.07522627225962487
김동인,-0.15027812204362845,0.14387063545717105,-0.013399172763411545,0.246021769917022,0.20207811705953097,0.353237030521247,1.0000000000000002,0.2939849145330097,-0.2815087115173525,0.2707773409163433,0.12351239482749499,0.09264214497332071,0.4167176097265132,0.2705146934574547,0.14778544094332052
나도향,-0.07482307500707033,0.3991989118780714,-0.010128721039820356,0.44231656716854295,0.0031373564865134354,0.18462867209787096,0.2939849145330097,0.9999999999999998,-0.029466698514953617,0.12023064175339976,-0.004253986449242213,0.333886936548061,0.22428048484938967,0.047843986274724484,0.09602535992449344
심훈,0.29571649067593664,0.02170677123650637,0.4076559187642411,0.13729516486159307,0.12132144803378846,0.17753184863441435,-0.2815087115173525,-0.029466698514953617,0.9999999999999998,-0.0071330879001069,0.1342943930428978,0.1681509202976698,0.0649770675537059,-0.053364184158726034,-0.02742670272278518
최서해,-0.06461051559924241,0.10580477824787161,0.05844764284848412,0.1782271355465465,-0.11959213916669686,-0.22316296275123498,0.2707773409163433,0.12023064175339976,-0.0071330879001069,1.0000000000000002,0.46990661392380173,-0.2086063712246363,0.2518020803191328,0.1672946630065028,0.04070800021752475
강경애,0.07360354934395576,0.15287980897523076,0.21853915706403668,-0.037997461462084124,0.06391174368446713,0.06563849718220262,0.12351239482749499,-0.004253986449242213,0.1342943930428978,0.46990661392380173,1.0000000000000002,-0.13699719341065397,0.28860182459162254,0.1966561757625161,0.15833785393479025
계용묵,-0.15071307608708243,0.1475239630281696,0.1140152745230851,0.14264458303083993,0.23848780703492953,0.057451094993833024,0.09264214497332071,0.333886936548061,0.1681509202976698,-0.2086063712246363,-0.13699719341065397,0.9999999999999996,0.07099855557167561,0.011883581836763963,0.11578289432994739
백신애,0.007268858143445896,0.1356982288282476,0.20311255402809028,0.2914943576392982,0.05084132785989331,-0.004598920217915584,0.4167176097265132,0.22428048484938967,0.0649770675537059,0.2518020803191328,0.28860182459162254,0.07099855557167561,1.0000000000000002,0.12802245767188256,0.06520990280887555
조명희,0.12699823636809374,0.05395202326154811,0.027444232529904113,0.0543725678225271,0.3925935127455028,0.16351850175115476,0.2705146934574547,0.047843986274724484,-0.053364184158726034,0.1672946630065028,0.1966561757625161,0.011883581836763963,0.12802245767188256,1.0000000000000002,0.06537048705710863
이무영,0.1907888568709433,0.17859611324790436,0.0511577616532172,-0.052558951402348265,0.21208501683288453,0.07522627225962487,0.14778544094332052,0.09602535992449344,-0.02742670272278518,0.04070800021752475,0.15833785393479025,0.11578289432994739,0.06520990280887555,0.06537048705710863,1.0
