,토속생활형,현실묘사형,실험내면형,서정감각형,계몽논설형,사회비판형
토속생활형,1.0,-0.42254237305096476,0.06629973381131715,-0.28106031480161126,-0.07314609409155909,-0.1238254478363142
현실묘사형,-0.42254237305096476,1.0000000000000002,-0.1715768761603485,-0.15960369759263535,-0.23534991186177076,-0.0404898930671103
실험내면형,0.06629973381131715,-0.1715768761603485,1.0,0.06451381394742646,-0.24416194465922256,-0.2610388201938915
서정감각형,-0.28106031480161126,-0.15960369759263535,0.06451381394742646,0.9999999999999998,0.17959552654345948,-0.6078252235293768
계몽논설형,-0.07314609409155909,-0.23534991186177076,-0.24416194465922256,0.17959552654345948,0.9999999999999993,-0.49087177947405025
사회비판형,-0.1238254478363142,-0.0404898930671103,-0.2610388201938915,-0.6078252235293768,-0.49087177947405025,1.0
