,토속생활형,현실묘사형,실험내면형,서정감각형,계몽논설형,사회비판형
토속생활형,0.9999999999999999,0.20883318351074226,0.19345250108774678,0.24101706910159287,0.332861190571491,0.275556359947455
현실묘사형,0.20883318351074226,1.0000000000000002,0.34039129683124325,0.49745506459778754,0.27586887631566737,0.34945160779303086
실험내면형,0.19345250108774678,0.34039129683124325,0.9999999999999999,0.24466362333358202,0.22731792004433532,0.24895440691782522
서정감각형,0.24101706910159287,0.49745506459778754,0.24466362333358202,1.0,0.41635176082267095,0.31163431130386887
계몽논설형,0.332861190571491,0.27586887631566737,0.22731792004433532,0.41635176082267095,1.0,0.3519478727586105
사회비판형,0.275556359947455,0.34945160779303086,0.24895440691782522,0.31163431130386887,0.3519478727586105,1.0
