feature_space,top1_accuracy,top3_accuracy,n
tfidf_word,0.7733333333333333,0.88,75
tfidf_char,0.7866666666666666,0.9066666666666666,75
style,0.41333333333333333,0.64,75
combined_50_50,0.64,0.7866666666666666,75
combined_65_35,0.6266666666666667,0.8533333333333334,75
combined_35_65,0.4266666666666667,0.6933333333333334,75
