,김유정,이상,이효석,현진건,채만식,이광수,김동인,나도향,심훈,최서해,강경애,계용묵,백신애,조명희,이무영
김유정,1.0000000000000002,-0.04249769099926656,0.31245355152030646,0.04985214514958243,-0.03251584469981975,0.2936264679735377,-0.32399765560415034,-0.21461908149161552,0.30052385356620237,-0.11776341758310636,0.01549095564391463,-0.2675688527271408,-0.17830436127512694,-0.0356272975907701,0.1175562986041679
이상,-0.04249769099926656,1.0000000000000002,0.02412337378137324,-0.29007275645606295,-0.16688360313287676,-0.01717809498838043,0.08476055580438312,0.27566649800478515,-0.14673883017164435,-0.032304895909528994,0.156930017088065,0.12038747702235417,0.09937988527678099,-0.10380421153637642,0.2230442495020078
이효석,0.31245355152030646,0.02412337378137324,1.0,0.05504724401727064,-0.4207638394108494,0.13905949969731782,-0.3166228394685196,-0.13517271804403977,0.46054364359927646,-0.039263773878888956,0.20514007686664165,0.028464483227912077,0.028486256664817664,-0.030313214852496665,-0.059892327481564395
현진건,0.04985214514958243,-0.29007275645606295,0.05504724401727064,0.9999999999999999,0.00025579662140335377,0.04698747414451685,0.15324501692938267,0.4450746980884288,0.05178087698855818,0.21210092331188096,-0.13824372037982402,0.05904898948770421,0.142011336364342,-0.008563392664658234,-0.2140362279075462
채만식,-0.03251584469981975,-0.16688360313287676,-0.4207638394108494,0.00025579662140335377,0.9999999999999998,0.10828343546305971,0.24956356833581989,-0.13315118689101688,-0.08009414936101739,-0.19438686365986588,-0.1406543573166661,0.1866714747381576,0.019104995227047155,0.39524159960028615,0.1665365045040415
이광수,0.2936264679735377,-0.01717809498838043,0.13905949969731782,0.04698747414451685,0.10828343546305971,1.0000000000000004,0.2574776641772527,0.13712297176126714,0.13949518693307925,-0.3717307327931744,-0.12474283472892445,-0.023746424560403274,-0.1377609611260422,0.015408137870137674,-0.04918560983813089
김동인,-0.32399765560415034,0.08476055580438312,-0.3166228394685196,0.15324501692938267,0.24956356833581989,0.2574776641772527,0.9999999999999997,0.25141667743988444,-0.4830206239459786,0.20368709695236625,0.0018621172616837967,-0.0048324262958298544,0.33108120710486644,0.13608750865200506,0.17669982783564878
나도향,-0.21461908149161552,0.27566649800478515,-0.13517271804403977,0.4450746980884288,-0.13315118689101688,0.13712297176126714,0.25141667743988444,1.0000000000000002,-0.0720478368894901,0.028013958542045858,-0.14604611508638715,0.3705664433345904,0.18029316371185058,-0.19040286328519704,-0.07517470450687902
심훈,0.30052385356620237,-0.14673883017164435,0.46054364359927646,0.05178087698855818,-0.08009414936101739,0.13949518693307925,-0.4830206239459786,-0.0720478368894901,0.9999999999999998,-0.1500082107709529,0.1093777419096494,0.0781258719119505,-0.0767901057417901,-0.12457702210977771,-0.23568215131924022
최서해,-0.11776341758310636,-0.032304895909528994,-0.039263773878888956,0.21210092331188096,-0.19438686365986588,-0.3717307327931744,0.20368709695236625,0.028013958542045858,-0.1500082107709529,0.9999999999999998,0.47717473283658585,-0.39436369976932073,0.20742700723837676,0.14384031014855272,-0.003122625559358879
강경애,0.01549095564391463,0.156930017088065,0.20514007686664165,-0.13824372037982402,-0.1406543573166661,-0.12474283472892445,0.0018621172616837967,-0.14604611508638715,0.1093777419096494,0.47717473283658585,1.0000000000000002,-0.3492328872541345,0.17575586443319582,0.08077565812625091,0.1605332070988225
계용묵,-0.2675688527271408,0.12038747702235417,0.028464483227912077,0.05904898948770421,0.1866714747381576,-0.023746424560403274,-0.0048324262958298544,0.3705664433345904,0.0781258719119505,-0.39436369976932073,-0.3492328872541345,0.9999999999999999,-0.011185898885912602,-0.08102762030232072,0.05438132497941423
백신애,-0.17830436127512694,0.09937988527678099,0.028486256664817664,0.142011336364342,0.019104995227047155,-0.1377609611260422,0.33108120710486644,0.18029316371185058,-0.0767901057417901,0.20742700723837676,0.17575586443319582,-0.011185898885912602,0.9999999999999999,0.10834644091569724,-0.03966934818712524
조명희,-0.0356272975907701,-0.10380421153637642,-0.030313214852496665,-0.008563392664658234,0.39524159960028615,0.015408137870137674,0.13608750865200506,-0.19040286328519704,-0.12457702210977771,0.14384031014855272,0.08077565812625091,-0.08102762030232072,0.10834644091569724,1.0,-0.07048362154105967
이무영,0.1175562986041679,0.2230442495020078,-0.059892327481564395,-0.2140362279075462,0.1665365045040415,-0.04918560983813089,0.17669982783564878,-0.07517470450687902,-0.23568215131924022,-0.003122625559358879,0.1605332070988225,0.05438132497941423,-0.03966934818712524,-0.07048362154105967,1.0000000000000002
