author,author_type,work_count,total_word_count,total_char_count,total_sentence_count,total_hanja_count,total_circle_count,shortest_work,longest_work,avg_char_count,avg_char_no_space_count,avg_word_count,avg_sentence_count,avg_avg_sentence_length_words,avg_sentence_length_std,avg_sentence_length_median,avg_short_sentence_ratio_1_3,avg_sentence_ratio_4_7,avg_sentence_ratio_8_15,avg_long_sentence_ratio_16_plus,avg_hangul_ratio,avg_hanja_ratio,avg_circle_ratio,avg_broken_char_ratio,avg_quote_count,avg_comma_count,avg_question_count,avg_exclamation_count,avg_ellipsis_count,avg_dialogue_sentence_ratio,avg_comma_per_sentence,avg_question_per_sentence,avg_exclamation_per_sentence,avg_ellipsis_per_sentence,avg_lexical_diversity,avg_first_person_expr_ratio,avg_negation_expr_ratio,avg_conceptual_expr_ratio,avg_experimental_expr_ratio,avg_nature_word_ratio,avg_sensory_word_ratio,avg_emotion_word_ratio,avg_color_word_ratio,avg_body_word_ratio,avg_social_reality_word_ratio,avg_rural_life_word_ratio
김유정,토속생활형,5,15206,57937,1642,0,0,땡볕,만무방,11587.4,8552.2,3041.2,328.4,10.13277633544662,5.830557341529836,9.8,0.11152570598364289,0.289349543044768,0.43999395230858357,0.15913079866300556,0.9348774950215976,0.0,0.0,0.0,119.0,87.8,17.0,21.4,14.2,0.26329456329158607,0.27358155962308545,0.06851467977384122,0.08416378488904075,0.048741430087664975,0.6852489424426402,0.061237582237517116,0.02283640929780218,0.010663729175665968,0.0025305518918824297,0.05204232260283513,0.005998525271076929,0.002680952685931034,0.0019075980515848665,0.03246450138522779,0.002650323698270334,0.021751434830795606
이상,실험내면형,5,42249,165929,3842,0,0,실화,12월_12일,33185.8,24622.8,8449.8,768.4,9.654313481221848,8.20152572336608,7.8,0.20031579416243384,0.30333859241812683,0.3341153441108151,0.16223026930862425,0.9233851551544703,0.0,0.0,0.0,350.6,69.6,52.8,67.0,25.8,0.1396005357852974,0.11860413905469196,0.06631839840432385,0.06022798694834739,0.029763728656027853,0.5845307200180386,0.09469640782207067,0.032001575646699434,0.020866399705182167,0.0036468322923555153,0.0522044355037363,0.006819133179062524,0.004211345923601189,0.005879483691540971,0.02709021824517834,0.003445783432431174,0.014009044488417766
이효석,서정감각형,5,19359,78155,1701,0,0,모밀꽃_필_무렵,산협,15631.0,11633.4,3871.8,340.2,10.971732840960012,7.4330953534960615,9.4,0.12038582719280211,0.27925891917182677,0.38531341853260226,0.21504183510276892,0.9481156933930581,0.0,0.0,0.0,114.8,28.6,8.6,6.6,21.2,0.26231140650383117,0.08624456800342925,0.027904989878571724,0.01964756261620442,0.0600447215081402,0.6891405435519337,0.0618217428496044,0.02339682356267513,0.014018457281021366,0.0030795153497837893,0.06929528801887991,0.011528607793496074,0.006552079712510937,0.003530670690062611,0.037264452437164766,0.0017123022873524458,0.01933971076330794
현진건,현실묘사형,5,11438,44509,1211,0,12,고향,빈처,8901.8,6609.0,2287.6,242.2,9.804303832348854,7.6051343714977,7.6,0.16690876052127807,0.3297204445921421,0.32631698911948026,0.17705380576709953,0.9265155857115628,0.0,0.0003284072249589491,0.0,129.6,66.0,19.8,20.0,26.0,0.3538335220864142,0.28716202679443603,0.10037567576370801,0.07294781799148967,0.09158446584578588,0.6995144988221031,0.06306110083664292,0.02404929912354759,0.012123790129080842,0.0022964094612386386,0.049303788030520254,0.010890936185035139,0.008398603967389642,0.0021627503481880697,0.04024221338856261,0.004013418143910888,0.01341791721942327
채만식,사회비판형,5,37164,151632,3555,0,0,미스터_방,허생전,30326.4,22855.8,7432.8,711.0,10.485629807390255,8.715863336680467,7.8,0.21185171883901238,0.2570746836128158,0.31830106433547944,0.21277253321269235,0.9151072769486076,0.0,0.0,0.0,403.8,483.8,88.2,59.8,165.6,0.3289626917790759,0.6589915942089489,0.13866494358596904,0.07636000511564324,0.2203043143497759,0.6211622068094637,0.0519571419240021,0.025759016011239512,0.011477024281673336,0.0025431655788435152,0.05379863429806927,0.004919618793797251,0.0019351378814675274,0.001717638011227893,0.026634836424592422,0.009097877730872103,0.01588859970065845
이광수,계몽논설형,5,35143,136217,3202,0,6,소년의_비애,단종애사,27243.4,20242.0,7028.6,640.4,10.893178216670949,8.228439127701032,9.1,0.11967186620566106,0.2948780113427156,0.38399296135989774,0.20145716109172568,0.9361665030999612,0.0,3.6590943741424e-05,0.0,264.4,284.8,69.8,11.6,11.2,0.29013032354193324,0.44386876000409137,0.08273881359641035,0.021085181954685856,0.02378054316536517,0.5463415936544482,0.05222937434100715,0.021898067689768038,0.017917004250326315,0.0020495259158417366,0.04829707525939041,0.00738520142065472,0.007502115791118158,0.00240992270452934,0.02851312180110696,0.0014265240785691334,0.01613580268560087
김동인,현실묘사형,5,22263,89652,2731,0,12,붉은_산,약한_자의_슬픔,17930.4,13501.4,4452.6,546.2,8.90179909312285,7.477294824981928,6.8,0.24035688527558624,0.3254310965889465,0.27056119874156614,0.1636508193939011,0.9128657269502429,0.0,0.00017111079423926993,0.0,260.0,171.4,59.8,32.4,68.0,0.24461109059542946,0.37340899261931265,0.10031705952049703,0.050210773469126946,0.09583639050183625,0.5862087785043071,0.05420268054127505,0.020114903643959375,0.01640389167395138,0.0020999628294859356,0.049979263907042805,0.007342877103412715,0.006881225490307971,0.0025500412938756056,0.02915073656968208,0.003557901228795043,0.013744943370120725
나도향,현실묘사형,5,18305,72246,1852,0,6,벙어리_삼룡이,피묻은_편지_몇_쪽,14449.2,10785.6,3661.0,370.4,10.12329871999219,8.729739138598614,8.0,0.20344976289065161,0.289687857783831,0.30649129433296696,0.20037108499255046,0.9389757457401778,0.0,8.371703641691084e-05,0.0,160.0,102.8,42.0,40.4,6.2,0.2901039370887646,0.2712245549889809,0.10221904632191751,0.10166157869921051,0.0159323276118778,0.6093301769633623,0.06768522318776647,0.025418539147161977,0.01542520342930874,0.0030873742007024017,0.04807774273861408,0.009488513217646228,0.010022187500284243,0.0025628682251645175,0.039553377195671625,0.0028557792462730798,0.01235484610293201
심훈,계몽논설형,5,32707,133060,3002,0,4,신혼여행,상록수,26612.0,20022.0,6541.4,600.4,11.329074198070398,7.643753005816189,9.9,0.12122606205097693,0.24599237376303523,0.38885853617955457,0.24392302800643328,0.9419337273770886,0.0,6.92424484474488e-05,0.0,321.8,169.4,65.2,33.4,34.8,0.3744503990948488,0.17547472750005705,0.1221090407187595,0.06555038224748941,0.06112961480145557,0.6892832974953172,0.06493600635627936,0.022188503409198694,0.014178475656300685,0.00305480563558959,0.07186184715031572,0.009495680003964242,0.005343323994244893,0.010887983117031541,0.046193069312585225,0.0019999958017359203,0.017737848621878955
최서해,사회비판형,5,16356,64834,2136,0,0,탈출기,누이동생을_따라,12966.8,9666.4,3271.2,427.2,7.630509849481049,5.610556110897677,6.2,0.23817347981734294,0.3698163114445021,0.2991450297618453,0.09286517897630964,0.9198093112623825,0.0,0.0,0.0,153.0,67.0,49.4,65.4,73.8,0.24756016919544838,0.1538144536973955,0.11706859713434807,0.15441340461094374,0.15350187372623297,0.6327257369559284,0.07341590064863371,0.020110523764032096,0.011937167008341108,0.0014946608007659673,0.05464553278644062,0.018421930697530387,0.005822158811822569,0.004857507583741831,0.04150017635515749,0.0029675531887632008,0.021812890287455436
