,토속생활형,현실묘사형,실험내면형,서정감각형,계몽논설형,사회비판형
김유정,0.7777204245153206,0.13310065067916685,0.1678865609773212,0.15299921135858824,0.2987727359591008,0.1774924370840463
이상,0.19345250108774678,0.34039129683124325,0.9999999999999999,0.24466362333358202,0.22731792004433532,0.24895440691782522
이효석,0.22557852591351826,0.22504838227123436,0.1721352819500776,0.7271432644879514,0.4256974999830171,0.16091567816762636
현진건,0.2157643423079913,0.7791622752676801,0.06611089493412316,0.3894717866327579,0.2668602057268965,0.15497697547490646
채만식,0.22196900059937386,0.17165724486591416,0.08352387433764344,0.16491982712982392,0.44214367017854866,0.5961782830635838
이광수,0.23004929687335668,0.3730039904507302,0.17813116408594892,0.2616452741836392,0.7706084609340824,0.3097112787018319
김동인,0.08507501871332482,0.704236341676886,0.19708476557798907,0.44479974828759405,0.22459086681463192,0.4159098619301962
나도향,0.17016938768945422,0.7961359346881441,0.49394845100874946,0.31274739623199194,0.14492838231950403,0.24131126033572842
심훈,0.28786648581591723,0.0624420205665672,0.17628020827161972,0.385289022852165,0.7880485594865311,0.24016529957679864
최서해,0.04844330918476079,0.29679741038695445,0.24168928779382182,0.20490715418430244,0.051470941597598005,0.6065994026080055
강경애,0.17578083592396412,0.153268415073212,0.14994111568706867,0.3023045022602065,0.24413003976936382,0.7617401879226867
계용묵,0.08852234287514481,0.31619182459108175,0.17268814055185983,0.657555213158046,0.25466711072619924,0.1567221983952435
백신애,0.19257268228440685,0.49702215127429183,0.164229890003445,0.6990721666171853,0.18768700454567358,0.335486345277353
조명희,0.2882803679554083,0.31695085755384317,0.19138850707332647,0.15391369593738305,0.19914629694678063,0.6985269091210019
이무영,0.8071675261512418,0.19609111562642736,0.13977589711368746,0.22688785377941026,0.23120520147882034,0.2569912601672235
