type,authors,author_count,avg_sentence_length_words,sentence_length_std,sentence_length_median,short_sentence_ratio_1_3,sentence_ratio_4_7,sentence_ratio_8_15,long_sentence_ratio_16_plus,dialogue_sentence_ratio,comma_per_sentence,question_per_sentence,exclamation_per_sentence,ellipsis_per_sentence,lexical_diversity,first_person_expr_ratio,negation_expr_ratio,conceptual_expr_ratio,experimental_expr_ratio,nature_word_ratio,sensory_word_ratio,emotion_word_ratio,color_word_ratio,body_word_ratio,social_reality_word_ratio,rural_life_word_ratio
토속생활형,"김유정, 이무영",2,9.33650842935974,6.367927611689087,8.2,0.16324496388190385,0.3142025103005599,0.38229586315774305,0.14025666265979322,0.26087023449748936,0.2444466107966729,0.07255986799937036,0.09150839261103684,0.03735034952901381,0.6531828034940932,0.05545453678499726,0.024941690402423132,0.01196415385240943,0.0031130684887989146,0.05713786814286245,0.0054152143682178865,0.002867056886472901,0.0018466839102190833,0.02679109887868413,0.004410078279499009,0.02031679504962172
현실묘사형,"현진건, 김동인, 나도향",3,9.609800548487966,7.9373894450260805,7.466666666666666,0.20357180289583865,0.31494646632163986,0.30112316073133777,0.1803585700511837,0.2961828499235361,0.3105985248009098,0.10097059386870753,0.07494005671994237,0.06778439465316664,0.6316844847632576,0.06164966818856147,0.023194247304889646,0.014650961744113655,0.0024945821638089915,0.04912026489205904,0.00924077550203136,0.00843400565266062,0.002425219955742731,0.03631544238463877,0.00347569953965967,0.013172568897492002
실험내면형,이상,1,9.654313481221848,8.20152572336608,7.8,0.20031579416243384,0.30333859241812683,0.3341153441108151,0.16223026930862425,0.1396005357852974,0.11860413905469196,0.06631839840432385,0.06022798694834739,0.029763728656027853,0.5845307200180386,0.09469640782207067,0.032001575646699434,0.020866399705182167,0.0036468322923555153,0.0522044355037363,0.006819133179062524,0.004211345923601189,0.005879483691540971,0.02709021824517834,0.003445783432431174,0.014009044488417766
서정감각형,"이효석, 계용묵, 백신애",3,11.069827304354407,8.814500754585493,8.666666666666666,0.1792838616361502,0.2704417478138604,0.32494111074889637,0.2253332798010931,0.2688553416657566,0.16201834399178955,0.05941639774977312,0.06822255565635342,0.1044703086201046,0.6533909550231697,0.06131933534796841,0.02718576148353961,0.015100960634697186,0.00339284027991581,0.06272562649703782,0.008342720346260837,0.008113116221830632,0.0026760524079148403,0.03479513516212746,0.002749529663045626,0.015897111775298737
계몽논설형,"이광수, 심훈",2,11.111126207370674,7.93609606675861,9.5,0.12044896412831899,0.2704351925528754,0.38642574876972613,0.22269009454907948,0.332290361318391,0.3096717437520742,0.10242392715758492,0.04331778210108763,0.04245507898341037,0.6178124455748828,0.05858269034864325,0.022043285549483364,0.0160477399533135,0.002552165775715663,0.060079461204853066,0.008440440712309481,0.006422719892681525,0.00664895291078044,0.03735309555684609,0.001713259940152527,0.016936825653739912
사회비판형,"채만식, 최서해, 강경애, 조명희",4,9.189420496067651,7.339517780054045,7.25,0.20260771492540303,0.3197282692900085,0.3343096640588361,0.1433543517257524,0.26522828908699825,0.3526702310694553,0.10179919265008995,0.09044153257187834,0.1818458428250691,0.6176797478629225,0.06612269886013346,0.022287439855933237,0.015032603706315196,0.0025222758230011074,0.05868722366135843,0.011137236206162403,0.004448858569119803,0.003894717251525969,0.036110312536982506,0.006209365039174087,0.017618359955393487
