,토속생활형,현실묘사형,실험내면형,서정감각형,계몽논설형,사회비판형
김유정,0.7550172849387223,-0.026095362680177498,0.0697032982262111,0.05010744320457358,0.34398581964098246,0.06379073612277161
이상,0.16304176855342242,0.20106015374185573,1.0000000000000004,0.20038170677287648,0.06871369290072347,0.1084341450085134
이효석,0.1965113396688731,0.04645117534695926,0.10426441888181195,0.6663387319784333,0.41426370563882386,0.02966696213222095
현진건,0.06554692747821973,0.7636025777783519,-0.09820411547780886,0.2835317698870361,0.17188547886781133,0.10380036135276201
채만식,0.16008023110527655,0.11649369497414257,-0.03838417504707869,0.04439122950419385,0.2301297533195043,0.5331591659385039
이광수,0.1952251395047811,0.29399477112153083,0.08495680883948435,0.1431673732083371,0.7570408405946109,0.09318823603017114
김동인,0.004406146628161213,0.6762378571076159,0.14387063545717105,0.2462694653178614,0.03888276221888684,0.34514526508597004
나도향,0.01718542484502096,0.7878293749474476,0.3991989118780714,0.2892763643404942,0.0984466835576107,0.06699395775067926
심훈,0.16726396633552196,-0.0719857756249793,0.02170677123650637,0.3307938864112494,0.777387710479599,0.07820815811259726
최서해,-0.013356032068623406,0.25252770267533764,0.10580477824787161,0.03501440942778861,-0.14737594167054788,0.607310041929738
강경애,0.15195746137094499,0.033769188843731,0.15287980897523076,0.17347974480892425,0.13111438595917627,0.6857872336698844
계용묵,-0.017243716055443045,0.2583906546562668,0.1475239630281696,0.648863337422101,0.14835901856006162,-0.03750484526996116
백신애,0.04812032976076054,0.4145343770871926,0.1356982288282476,0.6254187497426598,0.040199656460344395,0.2858579574188435
조명희,0.12336677568113535,0.16280046900283074,0.05395202326154811,0.0823513557676769,0.0690877201702455,0.6918375783779865
이무영,0.7877091932002952,0.08377565704844629,0.17859611324790436,0.12182930291717248,0.029873786216818087,0.1898418381414702
